Ref_Date,GEO,GROUP,Vector,Coordinate,Value
2006/2007,Canada,Education,v62427112,1.1,3373.0
2007/2008,Canada,Education,v62427112,1.1,3545.0
2008/2009,Canada,Education,v62427112,1.1,3652.0
2009/2010,Canada,Education,v62427112,1.1,3739.0
2010/2011,Canada,Education,v62427112,1.1,3850.0
2011/2012,Canada,Education,v62427112,1.1,3804.0
2012/2013,Canada,Education,v62427112,1.1,4273.0
2013/2014,Canada,Education,v62427112,1.1,4394.0
2014/2015,Canada,Education,v62427112,1.1,4510.0
2006/2007,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,3991.0
2007/2008,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4239.0
2008/2009,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4377.0
2009/2010,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4592.0
2010/2011,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4748.0
2011/2012,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4591.0
2012/2013,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5002.0
2013/2014,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5138.0
2014/2015,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5287.0
2006/2007,Canada,Humanities,v62427122,1.3,4336.0
2007/2008,Canada,Humanities,v62427122,1.3,4342.0
2008/2009,Canada,Humanities,v62427122,1.3,4364.0
2009/2010,Canada,Humanities,v62427122,1.3,4525.0
2010/2011,Canada,Humanities,v62427122,1.3,4638.0
2011/2012,Canada,Humanities,v62427122,1.3,4769.0
2012/2013,Canada,Humanities,v62427122,1.3,4941.0
2013/2014,Canada,Humanities,v62427122,1.3,5023.0
2014/2015,Canada,Humanities,v62427122,1.3,5165.0
2006/2007,Canada,Social and behavioural sciences,v62427123,1.4,4041.0
2007/2008,Canada,Social and behavioural sciences,v62427123,1.4,4165.0
2008/2009,Canada,Social and behavioural sciences,v62427123,1.4,4251.0
2009/2010,Canada,Social and behavioural sciences,v62427123,1.4,4431.0
2010/2011,Canada,Social and behavioural sciences,v62427123,1.4,4586.0
2011/2012,Canada,Social and behavioural sciences,v62427123,1.4,4656.0
2012/2013,Canada,Social and behavioural sciences,v62427123,1.4,4966.0
2013/2014,Canada,Social and behavioural sciences,v62427123,1.4,5116.0
2014/2015,Canada,Social and behavioural sciences,v62427123,1.4,5262.0
2006/2007,Canada,"Law, legal professions and studies",v62427124,1.5,7155.0
2007/2008,Canada,"Law, legal professions and studies",v62427124,1.5,7382.0
2008/2009,Canada,"Law, legal professions and studies",v62427124,1.5,8030.0
2009/2010,Canada,"Law, legal professions and studies",v62427124,1.5,8229.0
2010/2011,Canada,"Law, legal professions and studies",v62427124,1.5,8657.0
2011/2012,Canada,"Law, legal professions and studies",v62427124,1.5,9335.0
2012/2013,Canada,"Law, legal professions and studies",v62427124,1.5,9549.0
2013/2014,Canada,"Law, legal professions and studies",v62427124,1.5,10039.0
2014/2015,Canada,"Law, legal professions and studies",v62427124,1.5,10508.0
2006/2007,Canada,Business management and public administration,v62427125,1.6,4195.0
2007/2008,Canada,Business management and public administration,v62427125,1.6,4637.0
2008/2009,Canada,Business management and public administration,v62427125,1.6,4978.0
2009/2010,Canada,Business management and public administration,v62427125,1.6,5191.0
2010/2011,Canada,Business management and public administration,v62427125,1.6,5386.0
2011/2012,Canada,Business management and public administration,v62427125,1.6,5673.0
2012/2013,Canada,Business management and public administration,v62427125,1.6,6097.0
2013/2014,Canada,Business management and public administration,v62427125,1.6,6274.0
2014/2015,Canada,Business management and public administration,v62427125,1.6,6525.0
2006/2007,Canada,Physical and life sciences and technologies,v62427126,1.7,4270.0
2007/2008,Canada,Physical and life sciences and technologies,v62427126,1.7,4534.0
2008/2009,Canada,Physical and life sciences and technologies,v62427126,1.7,4679.0
2009/2010,Canada,Physical and life sciences and technologies,v62427126,1.7,4885.0
2010/2011,Canada,Physical and life sciences and technologies,v62427126,1.7,5049.0
2011/2012,Canada,Physical and life sciences and technologies,v62427126,1.7,5247.0
2012/2013,Canada,Physical and life sciences and technologies,v62427126,1.7,5335.0
2013/2014,Canada,Physical and life sciences and technologies,v62427126,1.7,5481.0
2014/2015,Canada,Physical and life sciences and technologies,v62427126,1.7,5640.0
2006/2007,Canada,"Mathematics, computer and information sciences",v62427127,1.8,4650.0
2007/2008,Canada,"Mathematics, computer and information sciences",v62427127,1.8,4746.0
2008/2009,Canada,"Mathematics, computer and information sciences",v62427127,1.8,4987.0
2009/2010,Canada,"Mathematics, computer and information sciences",v62427127,1.8,5299.0
2010/2011,Canada,"Mathematics, computer and information sciences",v62427127,1.8,5526.0
2011/2012,Canada,"Mathematics, computer and information sciences",v62427127,1.8,5781.0
2012/2013,Canada,"Mathematics, computer and information sciences",v62427127,1.8,6051.0
2013/2014,Canada,"Mathematics, computer and information sciences",v62427127,1.8,6245.0
2014/2015,Canada,"Mathematics, computer and information sciences",v62427127,1.8,6471.0
2006/2007,Canada,Engineering,v62427128,1.9,4943.0
2007/2008,Canada,Engineering,v62427128,1.9,5099.0
2008/2009,Canada,Engineering,v62427128,1.9,5319.0
2009/2010,Canada,Engineering,v62427128,1.9,5577.0
2010/2011,Canada,Engineering,v62427128,1.9,5992.0
2011/2012,Canada,Engineering,v62427128,1.9,6155.0
2012/2013,Canada,Engineering,v62427128,1.9,6560.0
2013/2014,Canada,Engineering,v62427128,1.9,6871.0
2014/2015,Canada,Engineering,v62427128,1.9,7151.0
2006/2007,Canada,Architecture and related technologies,v62427113,1.10,3839.0
2007/2008,Canada,Architecture and related technologies,v62427113,1.10,3999.0
2008/2009,Canada,Architecture and related technologies,v62427113,1.10,4503.0
2009/2010,Canada,Architecture and related technologies,v62427113,1.10,4826.0
2010/2011,Canada,Architecture and related technologies,v62427113,1.10,5179.0
2011/2012,Canada,Architecture and related technologies,v62427113,1.10,4788.0
2012/2013,Canada,Architecture and related technologies,v62427113,1.10,5340.0
2013/2014,Canada,Architecture and related technologies,v62427113,1.10,5495.0
2014/2015,Canada,Architecture and related technologies,v62427113,1.10,5711.0
2006/2007,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,3869.0
2007/2008,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,4064.0
2008/2009,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,4366.0
2009/2010,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,4697.0
2010/2011,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,4803.0
2011/2012,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,4961.0
2012/2013,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,5119.0
2013/2014,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,5251.0
2014/2015,Canada,"Agriculture, natural resources and conservation",v62427114,1.11,5407.0
2007/2008,Canada,Dentistry,v62427115,1.12,12516.0
2008/2009,Canada,Dentistry,v62427115,1.12,13290.0
2009/2010,Canada,Dentistry,v62427115,1.12,13917.0
2010/2011,Canada,Dentistry,v62427115,1.12,15062.0
2011/2012,Canada,Dentistry,v62427115,1.12,16037.0
2012/2013,Canada,Dentistry,v62427115,1.12,16678.0
2013/2014,Canada,Dentistry,v62427115,1.12,17387.0
2014/2015,Canada,Dentistry,v62427115,1.12,18187.0
2006/2007,Canada,Medicine,v62427116,1.13,9659.0
2007/2008,Canada,Medicine,v62427116,1.13,10029.0
2008/2009,Canada,Medicine,v62427116,1.13,9821.0
2009/2010,Canada,Medicine,v62427116,1.13,9815.0
2010/2011,Canada,Medicine,v62427116,1.13,10867.0
2011/2012,Canada,Medicine,v62427116,1.13,11313.0
2012/2013,Canada,Medicine,v62427116,1.13,12012.0
2013/2014,Canada,Medicine,v62427116,1.13,12470.0
2014/2015,Canada,Medicine,v62427116,1.13,12959.0
2007/2008,Canada,Nursing,v62427117,1.14,4267.0
2008/2009,Canada,Nursing,v62427117,1.14,4422.0
2009/2010,Canada,Nursing,v62427117,1.14,4558.0
2010/2011,Canada,Nursing,v62427117,1.14,4662.0
2011/2012,Canada,Nursing,v62427117,1.14,4731.0
2012/2013,Canada,Nursing,v62427117,1.14,4985.0
2013/2014,Canada,Nursing,v62427117,1.14,5140.0
2014/2015,Canada,Nursing,v62427117,1.14,5287.0
2007/2008,Canada,Pharmacy,v62427118,1.15,4215.0
2008/2009,Canada,Pharmacy,v62427118,1.15,8366.0
2009/2010,Canada,Pharmacy,v62427118,1.15,8783.0
2010/2011,Canada,Pharmacy,v62427118,1.15,9014.0
2011/2012,Canada,Pharmacy,v62427118,1.15,9719.0
2012/2013,Canada,Pharmacy,v62427118,1.15,10463.0
2013/2014,Canada,Pharmacy,v62427118,1.15,10691.0
2014/2015,Canada,Pharmacy,v62427118,1.15,11173.0
