Geography,Institution type,Program type,Credential type,"Classification of Instructional Programs, Primary Grouping (CIP_PG) (9)",Sex,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type",Personal improvement and leisure [0] ,Both sexes,..,..,..,..,3,..,0,3,0,..,..,..,..
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type",Education [1] ,Both sexes,360,384,363,510,534,546,669,669,687,606,540,534,516
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type","Visual and performing arts, and communications technologies [2] ",Both sexes,51,54,57,72,66,66,57,87,78,72,69,93,78
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type",Humanities [3] ,Both sexes,240,225,258,252,297,321,375,321,312,303,285,258,249
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type",Social and behavioural sciences and law [4] ,Both sexes,471,477,474,384,420,396,480,420,372,384,348,324,357
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type","Business, management and public administration [5] ",Both sexes,510,441,420,417,354,420,426,438,456,468,450,510,423
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type",Physical and life sciences and technologies [6] ,Both sexes,324,270,258,243,243,228,255,261,240,249,276,252,246
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type","Mathematics, computer and information sciences [7] ",Both sexes,81,132,120,108,78,108,75,69,63,63,51,57,63
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type","Architecture, engineering and related technologies [8] ",Both sexes,126,162,180,219,243,249,306,345,261,222,255,312,345
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type","Agriculture, natural resources and conservation [9] ",Both sexes,..,12,9,12,12,9,6,18,12,18,6,21,12
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type",Health and related fields [10] ,Both sexes,324,279,288,288,330,300,282,300,285,315,342,345,381
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type","Personal, protective and transportation services [11] ",Both sexes,..,..,..,..,..,15,12,9,45,15,15,15,24
Newfoundland and Labrador,"Total, institution type",Undergraduate program,"Total, credential type",Other instructional programs [12] ,Both sexes,21,..,..,..,..,..,..,..,..,..,..,..,..
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type",Education [1] ,Both sexes,75,87,87,96,81,9,6,9,15,3,0,3,27
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type","Visual and performing arts, and communications technologies [2] ",Both sexes,9,3,3,9,6,3,0,3,9,9,6,6,6
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type",Humanities [3] ,Both sexes,66,60,78,90,78,90,69,87,81,90,72,96,78
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type",Social and behavioural sciences and law [4] ,Both sexes,108,114,96,108,132,138,159,165,162,171,141,192,177
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type","Business, management and public administration [5] ",Both sexes,93,117,99,108,105,141,129,150,144,174,108,159,195
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type",Physical and life sciences and technologies [6] ,Both sexes,90,84,54,72,99,105,90,93,111,69,75,75,90
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type","Mathematics, computer and information sciences [7] ",Both sexes,6,9,15,12,15,18,9,9,18,18,15,27,24
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type","Architecture, engineering and related technologies [8] ",Both sexes,..,30,15,21,30,21,36,21,27,24,18,21,27
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type","Agriculture, natural resources and conservation [9] ",Both sexes,..,..,..,..,..,..,..,..,..,..,..,3,..
Prince Edward Island,"Total, institution type",Undergraduate program,"Total, credential type",Health and related fields [10] ,Both sexes,72,93,84,93,102,114,114,120,108,114,123,132,129
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type",Education [1] ,Both sexes,399,57,90,45,51,69,96,99,81,78,60,45,60
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type","Visual and performing arts, and communications technologies [2] ",Both sexes,258,279,201,309,315,306,321,336,222,312,273,288,282
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type",Humanities [3] ,Both sexes,882,735,759,870,918,846,963,1014,903,831,759,699,633
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type",Social and behavioural sciences and law [4] ,Both sexes,1491,1248,1290,1389,1506,1626,1764,1872,1677,1554,1440,1416,1470
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type","Business, management and public administration [5] ",Both sexes,1221,1242,1317,1506,1587,1428,1527,1698,1506,1539,1470,1665,1722
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type",Physical and life sciences and technologies [6] ,Both sexes,615,618,603,663,666,720,798,852,726,693,705,717,762
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type","Mathematics, computer and information sciences [7] ",Both sexes,276,231,240,297,309,333,270,195,204,189,144,144,129
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type","Architecture, engineering and related technologies [8] ",Both sexes,471,432,438,510,489,567,609,588,636,663,708,759,693
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type","Agriculture, natural resources and conservation [9] ",Both sexes,159,147,126,126,180,108,120,153,132,123,150,189,204
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type",Health and related fields [10] ,Both sexes,756,861,885,897,984,1020,1137,1176,993,1077,1077,981,1104
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type","Personal, protective and transportation services [11] ",Both sexes,..,..,6,9,9,9,12,3,3,..,..,3,3
Nova Scotia,"Total, institution type",Undergraduate program,"Total, credential type",Other instructional programs [12] ,Both sexes,3,42,57,66,63,93,75,93,108,120,132,111,102
New Brunswick,"Total, institution type",Undergraduate program,"Total, credential type",Education [1] ,Both sexes,408,222,306,318,330,399,411,423,471,585,687,765,591
New Brunswick,"Total, institution type",Undergraduate program,"Total, credential type","Visual and performing arts, and communications technologies [2] ",Both sexes,48,75,90,84,96,105,99,87,87,84,60,84,87
New Brunswick,"Total, institution type",Undergraduate program,"Total, credential type",Humanities [3] ,Both sexes,360,396,444,537,588,612,678,567,591,540,462,474,450
New Brunswick,"Total, institution type",Undergraduate program,"Total, credential type",Social and behavioural sciences and law [4] ,Both sexes,771,747,792,789,846,933,915,924,924,852,807,729,705
New Brunswick,"Total, institution type",Undergraduate program,"Total, credential type","Business, management and public administration [5] ",Both sexes,702,792,855,783,813,918,960,939,924,912,912,969,852
New Brunswick,"Total, institution type",Undergraduate program,"Total, credential type",Physical and life sciences and technologies [6] ,Both sexes,300,252,264,276,282,270,294,273,330,255,252,246,249
New Brunswick,"Total, institution type",Undergraduate program,"Total, credential type","Mathematics, computer and information sciences [7] ",Both sexes,138,177,198,192,192,189,138,117,102,81,78,75,81
