Geography,Wages (1),Type of work,North American Industry Classification System (NAICS) (4),Sex,Age group,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,Agriculture [111-112 1100 1151-1152]  (11),Both sexes,15 to 24 years,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,321.14,247.3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,308.93,x,383.97,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,525.27,x,x,415.07,394.26,413.15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,396.74,x,x,x,x,x,x,x,402.46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,"Forestry, fishing, mining, quarrying, oil and gas [21 113-114 1153 2100]  (12,13)",Both sexes,15 to 24 years,x,484.89,x,x,346.95,381.04,420.45,428.8,x,x,x,x,x,x,x,398.75,491.76,662.16,442.29,506.61,572.93,559.51,707.88,532.8,x,x,x,529.27,464.05,608.87,500.82,434.34,303.52,631.33,x,x,x,x,x,x,590.52,484,560.29,604.09,504.92,373.38,469.62,706.24,x,472.8,540.78,x,527.21,411.37,487.59,465.62,516.2,398.18,300.07,430.65,x,x,x,x,x,750.84,360.19,x,715.79,757.32,584.11,698.35,1136.42,607.06,594.33,525.23,602.39,678.02,518.24,463.21,511.56,677.27,664.36,663.23,565.25,705.21,658.3,710.97,531.19,482.12,607.92,658.85,x,930.81,848.78,900.96,1029.65,992.87,x,x,752.65,637.77,672.3,691.4,1034.36,937.94,1486.6,1005.99,x,949.87,932.73,1009.89,1023.69,836.8,883.28,833.11,848.25,855.57,1009.04,x,x,1235.4,x,x,1118.01,996.41,1031.96,1193.45,814.73,1056.71,1180.46,x,x,590.48,x,901.86,970.08,991.82,1012.39,1169.3,1216.72,701.41,1304.44,1215.69,689.41,704.35,929.54,1387.46,656.19,940.41,1143.02,876.37,675.17,888.42,1167.73,1025.46,941.87,1415.13,1219.42,1026.02,984.01,909.94,811.41,822.11,976.89,920.19,1298.49,1145.14,1190.39,1602.05,1530.35,1024.83,1065.62,1114.96,1065.36,1252.79,1428.78,1529.85,1845.36,1076.95,1148.29
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,Utilities [22] ,Both sexes,15 to 24 years,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,Construction [23] ,Both sexes,15 to 24 years,x,x,x,x,329.36,365.48,266.65,301,418.83,552.85,421.71,467.74,397.4,345.75,324.07,x,563.13,396.4,338.99,443.24,344.01,365.18,516.26,350.61,322.44,352.51,345.67,477.24,522.86,372.77,406.03,411.61,480.57,431.3,430.81,350.07,x,x,x,551.66,471.56,366.17,317.71,354.62,371.61,293.73,x,295,225.3,259.7,x,387.56,377.09,410.36,387.62,407.01,351.79,306.44,396.12,369.97,245.33,404.85,444.15,517.18,439.12,421.37,557.25,508.15,429.99,440.57,341.82,390.87,x,405.43,463.7,420.14,517.16,417.63,467.71,516.99,650.55,726.27,468.9,415.41,471.93,649.72,724.25,1153.54,710.97,733.31,782.94,553.02,562.52,663.65,924.63,716.33,869.22,523.74,637.02,801.56,669.16,927.28,837.87,1035.28,871.72,813.64,728.65,633.53,952.69,1350.36,887.09,x,615.87,715.36,524.19,503.5,668.96,753.82,869.03,842.48,673.49,947.8,711.59,x,648.92,792.68,735.11,788.46,692.09,738.11,724.79,770.2,703.04,611.97,656.63,709.72,806.04,702.48,822.65,767.82,809.65,854.21,700.08,748.24,769.68,749.83,776.91,688.35,670.92,531.34,598.85,703.95,881.72,992.35,934.36,746.57,750.98,974.02,959.82,966.37,1108.88,1022.68,1075.43,855.29,1012.19,835.15,1099.23,779.38,780.89,1418.95,1594.12,1253.61,1230.19,1316.03,1152.2,1105.97,1032.83,908.44,927.44,852.54,977.4
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,Manufacturing [31-33] ,Both sexes,15 to 24 years,454.11,291.95,393.69,353.02,310.45,293.06,285.08,318.2,322.03,383.52,319.72,283.79,279.11,256.47,345.94,311.14,356.08,277.51,280.15,295.74,438.11,442.17,527.36,555.01,638.19,388.14,391.33,337.7,474.6,322.53,302.32,345.45,388.62,x,414.58,393.26,x,363.4,337.64,368.91,291.76,351.84,298.44,322.87,224.62,261.5,395.18,384.59,404.14,464.42,521.58,400.23,491.01,451.74,298.94,310.23,436.2,340.18,336.98,302.51,343.15,401.63,246.77,176.49,285.7,316.42,289.37,323.37,373.73,451.7,236.09,258.13,344.16,360.32,604.57,502.25,445.72,348.92,390.95,339.96,337.75,x,308.14,356.85,x,x,343.29,463.37,431.82,506.43,337,441.34,530.57,709.57,587.74,x,x,382.91,565.27,485.1,379.53,348.23,447.29,467.42,427.74,359.71,633.15,693.33,472.43,421.48,x,362.5,406.89,381.41,436.37,370.5,491.14,358.79,x,537.19,502.39,x,x,1137.83,625.21,559.08,418.35,733.04,700.64,724.82,x,366.46,597.7,637.85,563.34,398.31,410.04,564.42,791.16,721.11,937.87,570.65,704.81,721.75,x,x,x,668.61,528.84,474.68,516.78,519.59,424.48,536.67,505.4,590.53,680.27,538.97,x,506.84,493.14,613.88,386.86,332.8,1259.2,x,754.36,719.63,x,x,x,1031.92,x,x,1210.53,958.25,1224.21,1006.22,1025.29,1019.91,994.47
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,Trade [41 44-45] ,Both sexes,15 to 24 years,155.82,154.49,159.78,165.26,204.69,194.16,187.67,208.6,156.61,155.45,191.35,200.41,203.39,172.33,168.6,174.02,176.68,199.38,218.47,220.13,198.74,202.56,175.96,171.86,143.08,145.25,147.86,161.86,170.77,177.66,191.22,198.8,188.76,182.22,182.04,169.27,152.59,161.55,173.73,196.4,209.81,212.05,199.47,222.92,183.07,169.72,187.06,177.72,170.82,149.7,179.1,175.35,210.07,208.04,219,218.33,210.57,204.95,180.91,192.75,167.37,168.31,177.97,185.75,222.73,219.11,220.43,225.91,230.41,221.16,188.87,189.9,162.86,158.87,141.13,158.04,214.09,254.02,236.39,232.66,235.69,202.79,212.61,228.78,214.46,212.49,186.72,181.68,200.13,194.32,219.63,255.05,247.43,249.62,228.16,226.91,228.08,245.39,256.19,190.27,204.6,199.89,227.74,240.02,226.96,206.75,198.34,203.87,208.4,203.68,219.1,266.87,250.39,272.05,302.22,295.59,278.42,263.73,234.05,245.65,240.18,226.7,227,252.25,276.22,283,294.66,312.42,256.69,260.97,283.49,273.94,272.11,297.82,283.96,304.15,307.52,316.07,336,358.8,362.34,350.15,287.84,299.34,304.27,253.68,254.95,243.98,255.37,245.43,306.94,314.75,333.22,325.25,312.88,307.27,297.19,257.84,230.82,277.24,319.97,318.64,327.75,358.21,321,310.13,280.99,325.38,349.55,324.43,372,341.27,352.16,315.63,340.29,337.84,275.65,255.73,246.71,284.58,275.17
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,Transportation and warehousing [48-49] ,Both sexes,15 to 24 years,x,x,x,x,573.75,568.62,431.18,310.7,x,x,x,x,x,x,x,x,x,571.6,360.18,322.01,441.21,520.59,330.16,x,436.74,x,x,286.19,397.31,369.86,325.67,314.11,407.16,375.57,252.11,291.73,296.05,325.24,284,x,266.37,323.69,451.6,316.59,333.76,378.24,354.65,412.68,285.56,314.63,440.52,561.68,497.99,347.72,377.44,340.22,345.47,363.56,453.6,487.22,x,x,x,675.48,645.19,836.07,554.68,679.54,771.07,712.68,501.39,498.24,431.34,x,x,x,437.65,365.16,273.61,532.49,x,x,990.21,403.62,565.01,495.79,502.99,384.94,390.14,401.27,519.84,365.21,x,x,x,x,x,536.82,1021.43,405.13,451.93,249.86,282.55,532.18,547.76,x,x,838.63,x,568.77,871.81,776.77,1258.29,x,970.75,639.33,x,x,x,x,x,650.26,702.92,607.36,489.74,799.83,621.1,602.36,601.85,x,518.14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,996.66,x,531.13,661.16,662.09,674.24,797.48,756.17,x,x,770.54,x,x,x,x,x,x,x,464.57,x,x,x,x,x,x,x,562.53,626.35,566.48,441.08,489.44,561.1,1011.74,871.99
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,"Finance, insurance, real estate and leasing [52-53] ",Both sexes,15 to 24 years,170.39,218.23,182.39,171.33,x,x,x,197.08,x,x,x,x,x,x,x,230.57,x,274.7,x,380.55,360.41,x,x,204.07,x,x,397.33,186.97,235.09,155,x,176.85,x,x,x,x,x,x,x,282.56,233.94,223.84,233.15,201.91,231,307.97,x,x,x,161.21,x,x,x,x,x,234.48,198.73,231.76,296.18,x,x,x,x,x,x,182.24,x,x,x,x,186.59,x,x,x,x,x,x,x,277.6,297.58,274.12,x,x,x,x,x,x,254.36,236.25,382.88,x,544.93,299.45,x,354.36,436.85,462.75,358.91,337.95,398.67,397.22,267.64,312.52,350.08,403.95,x,x,261.77,x,188.9,110.35,x,231.81,x,400.97,395.58,x,412.35,404.67,375.02,382.04,x,x,x,x,x,408.8,375,341.44,342.29,271.99,263.45,214.88,x,x,324.09,346.38,409.99,417.46,459.53,247.28,366.1,331.85,x,x,x,416.45,x,x,498.64,452.78,452.94,441.23,343.97,x,174.63,272.77,208.37,348.06,x,x,558.7,554.34,565.62,x,x,x,x,x,x,582.06,x,595.77,x,x,x,x,x,x,430.04,955.3
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,"Professional, scientific and technical services [54] ",Both sexes,15 to 24 years,321.81,x,297.12,417.29,433.48,379.39,358.28,346.61,525.75,581.51,497.21,268.51,x,x,x,214.29,345.18,404.95,302.15,321.78,352.02,379.59,x,408.69,x,x,x,x,318.09,402.28,389.72,366.18,x,x,x,396.25,382.07,382.81,314.79,299.08,315.77,450.95,338.66,249.43,x,512.4,519.18,421.15,453.81,297.97,x,259.26,342.59,297.86,341.76,277.79,280.99,235.2,x,390.11,x,460.48,572.22,538.33,453.56,401.16,438.36,559.7,603.62,467.2,x,x,x,x,x,x,x,552.53,479.57,x,x,583.06,x,x,x,x,x,142.76,347.66,375.05,442.15,441.86,516.42,459.07,x,x,570.53,574.54,x,256.02,536.33,464.98,497.62,492.78,x,x,933.62,563.67,459.99,438.83,x,792.64,793.43,419.75,459.31,476.85,857.24,585.12,513.19,595.77,x,x,x,x,589.51,577.27,506.14,503.92,547.62,626.71,760.02,670.9,483.61,546.82,x,x,457.48,x,x,x,x,967.95,497.43,501.64,561.58,688.36,753.46,613.17,313.96,346.55,375.78,390.11,330.47,317.12,544.89,641.46,x,669.32,482.22,482.72,x,461.99,545.19,460.03,848.36,881.53,526.81,x,656.75,869.46,622.02,700.53,650.07,673.34,653.99,636.12,657.57,744.98,715.27,851.25,793.13
Newfoundland and Labrador,Average weekly wage rate,Both full- and part-time employees,"Business, building and other support services [55-56]  (6)",Both sexes,15 to 24 years,x,x,x,x,222.52,196.09,249.62,255.73,295.27,236.74,261.36,228.74,249.22,236.3,273.99,293.9,259.86,243,279.02,257.27,196.44,303.42,321.51,329.53,292.04,272.55,329.49,335.54,303.73,322.14,277.56,264.57,300.53,302.54,319.22,305.76,321.24,263.49,329.06,308.94,368.74,361.35,335.11,348.52,336.09,358.3,357.39,292.91,331.11,272.71,214.69,252.16,293.79,261.63,246.67,315.4,362.38,320.74,367.02,377.73,351.25,316.98,333.4,385.78,326.19,333.93,336.11,352.55,375.55,295.18,421.91,478.63,497.73,332.71,357.03,397.96,318.7,311.86,302.85,308.48,308.35,329.91,368.69,365.25,343.49,348.01,328.13,329.22,404.85,440.21,434.84,529.67,528.36,582.75,814.47,351.83,314.23,257.69,329.28,310.67,406.12,375.44,367.89,401.09,373.72,371.13,371.6,323.22,376.06,381.55,422.84,399.14,428.15,466.96,342.92,345.44,602.47,406.06,508.54,483.67,456.61,536.51,x,391.75,461.83,447.46,408.51,455.34,443,389.17,441.11,388.06,446.71,486.26,411.72,434.8,378.94,421.81,314.51,344.45,308.04,401.33,335.3,x,x,468.61,412.03,299,299.42,301.63,451.59,475.11,327.78,421.4,x,x,359.05,x,x,x,547.79,656.04,x,x,689.53,1015.13,508.85,443.15,589.34,1217.42,x,582.83,592.74,252.8,267,443.47,x,x,495.02,x,x
